region_code,region,location_code,location,period,gender,gender_code,life_expect_birth
AFR,Africa,LSO,Lesotho,2019,Male,MLE,47.66
AFR,Africa,CAF,Central African Republic,2019,Male,MLE,50.21
AFR,Africa,LSO,Lesotho,2019,Both sexes,BTSX,50.75
AFR,Africa,CAF,Central African Republic,2019,Both sexes,BTSX,53.1
AFR,Africa,SWZ,Eswatini,2019,Male,MLE,53.36
EMR,Eastern Mediterranean,SOM,Somalia,2019,Male,MLE,54.01
AFR,Africa,LSO,Lesotho,2019,Female,FMLE,54.24
AFR,Africa,MOZ,Mozambique,2019,Male,MLE,54.46
WPR,Western Pacific,KIR,Kiribati,2019,Male,MLE,56.14
AFR,Africa,CAF,Central African Republic,2019,Female,FMLE,56.26
EMR,Eastern Mediterranean,SOM,Somalia,2019,Both sexes,BTSX,56.47
AFR,Africa,GNB,Guinea-Bissau,2019,Male,MLE,57.36
AFR,Africa,ZWE,Zimbabwe,2019,Male,MLE,57.51
AFR,Africa,SWZ,Eswatini,2019,Both sexes,BTSX,57.73
AFR,Africa,TCD,Chad,2019,Male,MLE,57.95
AFR,Africa,MOZ,Mozambique,2019,Both sexes,BTSX,58.14
AFR,Africa,BWA,Botswana,2019,Male,MLE,58.95
EMR,Eastern Mediterranean,SOM,Somalia,2019,Female,FMLE,59.22
WPR,Western Pacific,KIR,Kiribati,2019,Both sexes,BTSX,59.42
AFR,Africa,GIN,Guinea,2019,Male,MLE,59.48
AFR,Africa,ZMB,Zambia,2019,Male,MLE,59.54
AFR,Africa,SLE,Sierra Leone,2019,Male,MLE,59.6
AFR,Africa,TCD,Chad,2019,Both sexes,BTSX,59.63
AFR,Africa,COD,Democratic Republic of the Congo,2019,Male,MLE,60
AFR,Africa,BFA,Burkina Faso,2019,Male,MLE,60.06
AFR,Africa,GNB,Guinea-Bissau,2019,Both sexes,BTSX,60.22
AFR,Africa,CMR,Cameroon,2019,Male,MLE,60.29
WPR,Western Pacific,FSM,Micronesia (Federated States of),2019,Male,MLE,60.35
AFR,Africa,CIV,Côte d’Ivoire,2019,Male,MLE,60.53
AFR,Africa,NAM,Namibia,2019,Male,MLE,60.58
AFR,Africa,ZWE,Zimbabwe,2019,Both sexes,BTSX,60.68
AFR,Africa,AGO,Angola,2019,Male,MLE,60.7
AFR,Africa,SLE,Sierra Leone,2019,Both sexes,BTSX,60.77
AFR,Africa,SSD,South Sudan,2019,Male,MLE,60.83
AFR,Africa,GNQ,Equatorial Guinea,2019,Male,MLE,60.87
AFR,Africa,GIN,Guinea,2019,Both sexes,BTSX,61.01
AFR,Africa,BEN,Benin,2019,Male,MLE,61.19
AFR,Africa,NGA,Nigeria,2019,Male,MLE,61.2
AFR,Africa,ERI,Eritrea,2019,Male,MLE,61.3
AFR,Africa,TCD,Chad,2019,Female,FMLE,61.34
AFR,Africa,TGO,Togo,2019,Male,MLE,61.52
AFR,Africa,BDI,Burundi,2019,Male,MLE,61.55
AFR,Africa,MOZ,Mozambique,2019,Female,FMLE,61.73
AFR,Africa,SLE,Sierra Leone,2019,Female,FMLE,61.9
AFR,Africa,NER,Niger,2019,Male,MLE,62.06
